"","Subject","MType","Group","ACC"
"365","b7d815e5","full","A",0.695298573975045
"366","b7d815e5","tbr","A",0.399539252170831
"367","bae52251","f0","C",0.614583333333333
"368","bae52251","full","C",0.666666666666667
"369","bae52251","tbr","C",0.40625
"370","bc79fe8e","f0","C",0.479166666666667
"371","bc79fe8e","full","C",0.541666666666667
"372","bc79fe8e","tbr","C",0.322916666666667
"373","bd25afd1","f0","C",0.708333333333333
"374","bd25afd1","full","C",0.760416666666667
"375","bd25afd1","tbr","C",0.375
"376","beac6eba","f0","A",0.637468671679198
"377","beac6eba","full","A",0.732592641799803
"378","beac6eba","tbr","A",0.479779411764706
"379","bf63d4b0","f0","A",0.619096133751306
"380","bf63d4b0","full","A",0.805296481211813
"381","bf63d4b0","tbr","A",0.440064102564103
"382","bfd763d3","f0","C",0.71875
"383","bfd763d3","full","C",0.760416666666667
"384","bfd763d3","tbr","C",0.46875
"385","c14afca8","f0","M",0.520833333333333
"386","c14afca8","full","M",0.729166666666667
"387","c14afca8","tbr","M",0.354166666666667
"388","c2777d5e","f0","A",0.663848364279399
"389","c2777d5e","full","A",0.75201418951419
"390","c2777d5e","tbr","A",0.423781328320802
"391","c2b2b585","f0","A",0.643466082085008
"392","c2b2b585","full","A",0.711768219832736
"393","c2b2b585","tbr","A",0.409420289855072
"394","c2efc2bd","f0","A",0.6296875
"395","c2efc2bd","full","A",0.803370140326662
"396","c2efc2bd","tbr","A",0.430689650262019
"397","c5dd6f55","f0","A",0.581576858629509
"398","c5dd6f55","full","A",0.757894736842105
"399","c5dd6f55","tbr","A",0.491935170807453
"400","c93f9013","f0","M",0.614583333333333
"401","c93f9013","full","M",0.770833333333333
"402","c93f9013","tbr","M",0.4375
"403","d094483c","f0","M",0.625
"404","d094483c","full","M",0.791666666666667
"405","d094483c","tbr","M",0.489583333333333
"406","d4970135","f0","A",0.654682159945318
"407","d4970135","full","A",0.739995791245791
"408","d4970135","tbr","A",0.428623188405797
"409","d6fc8611","f0","A",0.477272727272727
"410","d6fc8611","full","A",0.674471104231166
"411","d6fc8611","tbr","A",0.361845986257751
"412","d832cea2","f0","A",0.663733766233766
"413","d832cea2","full","A",0.805885708461559
"414","d832cea2","tbr","A",0.477314814814815
"415","d8f51d50","f0","M",0.572916666666667
"416","d8f51d50","full","M",0.739583333333333
"417","d8f51d50","tbr","M",0.34375
"418","dba29b75","f0","A",0.781123321123321
"419","dba29b75","full","A",0.944444444444444
"420","dba29b75","tbr","A",0.546991315136476
"421","dc760a5d","f0","A",0.64042735042735
"422","dc760a5d","full","A",0.814213564213564
"423","dc760a5d","tbr","A",0.405328116017179
"424","dcd8e33b","f0","A",0.621928730975014
"425","dcd8e33b","full","A",0.807136227616777
"426","dcd8e33b","tbr","A",0.5025
"427","dee3a198","f0","C",0.604166666666667
"428","dee3a198","full","C",0.697916666666667
"429","dee3a198","tbr","C",0.34375
"430","e05c2243","f0","M",0.645833333333333
"431","e05c2243","full","M",0.822916666666667
"432","e05c2243","tbr","M",0.364583333333333
"433","e13207e8","f0","M",0.645833333333333
"434","e13207e8","full","M",0.864583333333333
"435","e13207e8","tbr","M",0.354166666666667
"436","e5776088","f0","M",0.59375
"437","e5776088","full","M",0.739583333333333
"438","e5776088","tbr","M",0.40625
"439","e6f48dc1","f0","M",0.59375
"440","e6f48dc1","full","M",0.666666666666667
"441","e6f48dc1","tbr","M",0.375
"442","e7786434","f0","M",0.59375
"443","e7786434","full","M",0.739583333333333
"444","e7786434","tbr","M",0.375
"445","e852c63d","f0","A",0.74321497994636
"446","e852c63d","full","A",0.799028296181996
"447","e852c63d","tbr","A",0.445567226890756
"448","e8c8abac","f0","C",0.552083333333333
"449","e8c8abac","full","C",0.677083333333333
"450","e8c8abac","tbr","C",0.395833333333333
"451","e9dcbdfb","f0","C",0.520833333333333
"452","e9dcbdfb","full","C",0.708333333333333
"453","e9dcbdfb","tbr","C",0.46875
"454","eac06b9a","f0","A",0.715831600831601
"455","eac06b9a","full","A",0.826346801346801
"456","eac06b9a","tbr","A",0.418111899932387
"457","ededba4f","f0","C",0.625
"458","ededba4f","full","C",0.697916666666667
"459","ededba4f","tbr","C",0.375
"460","ee8ba1b3","f0","M",0.75
"461","ee8ba1b3","full","M",0.739583333333333
"462","ee8ba1b3","tbr","M",0.395833333333333
"463","ef4e53d6","f0","C",0.583333333333333
"464","ef4e53d6","full","C",0.604166666666667
"465","ef4e53d6","tbr","C",0.354166666666667
"466","f32b7d38","f0","A",0.528127470355731
"467","f32b7d38","full","A",0.674437813772852
"468","f32b7d38","tbr","A",0.326357519292302
"469","f3490f82","f0","A",0.64958605664488
"470","f3490f82","full","A",0.823872785829308
"471","f3490f82","tbr","A",0.395975255459828
"472","f3b4140d","f0","C",0.59375
"473","f3b4140d","full","C",0.78125
"474","f3b4140d","tbr","C",0.395833333333333
"475","f51c6a08","f0","A",0.628003839960362
"476","f51c6a08","full","A",0.740425084175084
"477","f51c6a08","tbr","A",0.434247383163792
"478","f68d9943","f0","A",0.581679894179894
"479","f68d9943","full","A",0.696362433862434
"480","f68d9943","tbr","A",0.359252132307052
"481","f70f03e4","f0","M",0.6875
"482","f70f03e4","full","M",0.822916666666667
"483","f70f03e4","tbr","M",0.5
"484","f88bdf93","f0","A",0.646096619848742
"485","f88bdf93","full","A",0.833839069554407
"486","f88bdf93","tbr","A",0.466423273325743
"487","fd29b2f1","f0","A",0.50684641445511
"488","fd29b2f1","full","A",0.659600313479624
"489","fd29b2f1","tbr","A",0.435420875420875
"490","fe1283f9","f0","M",0.625
"491","fe1283f9","full","M",0.791666666666667
"492","fe1283f9","tbr","M",0.552083333333333
"493","feded5f4","f0","A",0.716750841750842
"494","feded5f4","full","A",0.738892686261107
"495","feded5f4","tbr","A",0.517799631930067
"496","ff1d4fec","f0","C",0.65625
"497","ff1d4fec","full","C",0.791666666666667
"498","ff1d4fec","tbr","C",0.5
