"","Subject","Group","fea_f0","fea_full","fea_tbr","hap_f0","hap_full","hap_tbr","ple_f0","ple_full","ple_tbr","sad_f0","sad_full","sad_tbr"
"22","34bc7021",1,0.352941176470588,0.44,0.157894736842105,0.851851851851852,1,0.684210526315789,0.714285714285714,0.708333333333333,0.217391304347826,0.68,0.689655172413793,0.653846153846154
"23","36d3024f",1,0.633333333333333,0.705882352941177,0.464285714285714,0.791666666666667,0.823529411764706,0.473684210526316,0.277777777777778,0.757575757575758,0.392857142857143,0.814814814814815,0.615384615384615,0.476190476190476
"24","38c800a9",2,0.478260869565217,0.538461538461538,0.0740740740740741,0.782608695652174,0.962962962962963,0.666666666666667,0.652173913043478,0.826086956521739,0.566666666666667,0.962962962962963,0.851851851851852,0.458333333333333
"25","390dc09f",1,0.416666666666667,0.791666666666667,0.35,0.84,0.875,0.25,0.695652173913043,0.80952380952381,0.4375,0.769230769230769,0.76,0.37037037037037
"26","39a234f0",2,0.518518518518518,0.590909090909091,0.346153846153846,0.863636363636364,1,0.5,0.458333333333333,0.772727272727273,0.3,0.466666666666667,0.523809523809524,0.344827586206897
"27","3c3d554a",1,0.523809523809524,0.545454545454545,0.382352941176471,0.866666666666667,1,0.8,0.16,0.478260869565217,0,0.612903225806452,0.64,0.416666666666667
"28","3d3bbe78",2,0.529411764705882,0.833333333333333,0.580645161290323,0.814814814814815,0.962962962962963,0.65,0.571428571428571,0.653846153846154,0.607142857142857,0.727272727272727,0.736842105263158,0.571428571428571
"29","420281f8",2,0.740740740740741,0.619047619047619,0.391304347826087,0.576923076923077,0.941176470588235,0.0769230769230769,0.444444444444444,0.586206896551724,0.5,0.633333333333333,0.67741935483871,0.411764705882353
"30","45eeb9e9",1,0.2,0.275862068965517,0.136363636363636,0.857142857142857,1,0.708333333333333,0.0434782608695652,0.235294117647059,0.0833333333333333,0.583333333333333,0.8,0.542857142857143
"31","49b9b3ec",2,0.714285714285714,0.724137931034483,0.217391304347826,0.65,0.96551724137931,0.36,0.652173913043478,0.733333333333333,0.379310344827586,0.821428571428571,0.85,0.6875
"32","4b52d9bd",1,0.692307692307692,0.8,0.3125,0.9375,0.96,0.95,0.375,0.64,0.2,0.695652173913043,0.791666666666667,0.615384615384615
"33","53a653db",1,0.846153846153846,0.782608695652174,0.444444444444444,0.894736842105263,0.96969696969697,0.5,0.578947368421053,0.863636363636364,0.285714285714286,0.75,0.826086956521739,0.423076923076923
"34","552e0861",2,0.5,0.516129032258065,0.333333333333333,0.925925925925926,0.863636363636364,0.5625,0.538461538461538,0.714285714285714,0.411764705882353,0.869565217391304,0.888888888888889,0.344827586206897
"35","5846c1bb",1,0.666666666666667,0.793103448275862,0.181818181818182,0.95,1,0.25,0.793103448275862,0.863636363636364,0.526315789473684,0.714285714285714,0.925925925925926,0.708333333333333
"36","5c4e274d",2,0.4375,0.6875,0.333333333333333,0.842105263157895,0.944444444444444,0.444444444444444,0.769230769230769,0.67741935483871,0.227272727272727,0.793103448275862,0.684210526315789,0.323529411764706
"37","5f457077",1,0.80952380952381,0.842105263157895,0.428571428571429,0.91304347826087,0.967741935483871,0.423076923076923,0.666666666666667,0.72,0.25,0.473684210526316,0.555555555555556,0.4375
"38","720dfefd",1,0.586206896551724,0.625,0.541666666666667,0.9,0.958333333333333,0.5,0.366666666666667,0.648648648648649,0.5,0.75,0.966666666666667,0.736842105263158
"39","73314bd1",1,0.310344827586207,0.576923076923077,0.173913043478261,0.85,1,0.545454545454545,0.6,0.636363636363636,0.291666666666667,0.366666666666667,0.48,0.25
"40","76e8cb48",1,0.619047619047619,0.807692307692308,0.407407407407407,0.923076923076923,0.95,0.166666666666667,0.529411764705882,0.653846153846154,0.526315789473684,0.857142857142857,0.8,0.25
"41","7eabca12",1,0.518518518518518,0.761904761904762,0.310344827586207,0.941176470588235,1,0.130434782608696,0.454545454545455,0.75,0.272727272727273,0.652173913043478,0.916666666666667,0.592592592592593
"42","82a6607f",2,0.652173913043478,0.769230769230769,0.5,0.846153846153846,1,0.181818181818182,0.689655172413793,0.608695652173913,0.285714285714286,0.545454545454545,0.80952380952381,0.565217391304348
"43","863033bd",2,0.4,0.578947368421053,0.227272727272727,0.869565217391304,0.9375,0.3,0.44,0.611111111111111,0.541666666666667,0.85,0.75,0.347826086956522
"44","8aca3bdd",1,0.565217391304348,0.583333333333333,0.0833333333333333,0.766666666666667,0.952380952380952,0.379310344827586,0.4,0.904761904761905,0.275862068965517,0.814814814814815,0.826086956521739,0.555555555555556
"45","8ed04a1e",2,0.433333333333333,0.586206896551724,0.277777777777778,0.681818181818182,0.857142857142857,0.285714285714286,0.576923076923077,0.730769230769231,0.476190476190476,0.5,0.619047619047619,0.19047619047619
"46","90249921",1,0.366666666666667,0.533333333333333,0.142857142857143,0.65,0.952380952380952,0.523809523809524,0.4,0.521739130434783,0.705882352941177,0.590909090909091,0.421052631578947,0.3
"47","929dad4d",1,0.56,0.615384615384615,0.44,0.565217391304348,0.888888888888889,0.727272727272727,0.5,0.65,0.333333333333333,0.619047619047619,0.7,0.375
"48","95c7a9cf",2,0.19047619047619,0.423076923076923,0.0416666666666667,0.555555555555556,0.92,0.391304347826087,0.16,0.315789473684211,0.275862068965517,0.7,0.764705882352941,0.608695652173913
"49","99a3afac",2,0.666666666666667,0.62962962962963,0.409090909090909,0.857142857142857,0.962962962962963,0.275862068965517,0.25,0.631578947368421,0.0666666666666667,0.833333333333333,0.9,0.416666666666667
"50","9d49e9bb",2,0.454545454545455,0.75,0.454545454545455,0.736842105263158,0.857142857142857,0.16,0.375,0.583333333333333,0.52,0.56,0.7,0.64
"51","a456f01b",1,0.703703703703704,0.857142857142857,0.461538461538462,0.933333333333333,1,1,0.588235294117647,0.727272727272727,0.461538461538462,0.694444444444444,0.76,0.636363636363636
"52","a617a0f5",2,0.5,0.727272727272727,0.473684210526316,0.84,0.80952380952381,0.290322580645161,0.517241379310345,0.888888888888889,0.363636363636364,0.758620689655172,0.636363636363636,0.333333333333333
"53","a6c585d3",1,0.5,0.740740740740741,0.380952380952381,0.727272727272727,1,0,0.166666666666667,0.37037037037037,0,0.947368421052632,1,0.923076923076923
"54","a80befde",2,0.689655172413793,0.739130434782609,0.275862068965517,0.84,0.958333333333333,0.166666666666667,0.541666666666667,0.85,0.48,0.636363636363636,0.772727272727273,0.653846153846154
"55","a83a560b",2,0.555555555555556,0.75,0.608695652173913,0.916666666666667,1,0.592592592592593,0.315789473684211,0.62962962962963,0.19047619047619,0.766666666666667,0.909090909090909,0.428571428571429
